discounted_distance
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
439,18,0,1,0.04,16.0,16.0,0.25,0
440,26,0,1,0.06,24.0,24.0,0.25,0
441,18,0,1,0.0275,16.0,16.0,0.25,0
442,17,0,1,0.0375,15.0,15.0,0.0,0
443,20,0,1,0.0425,18.0,18.0,0.5,0
444,8,0,1,0.015,6.0,6.0,0.25,0
445,60,0,0,0.1475,59.0,59.0,0.75,0
446,45,0,0,0.11,44.0,44.0,0.75,0
447,55,0,0,0.135,54.0,54.0,0.75,0
448,12,0,1,0.025,10.0,10.0,0.0,0
449,30,0,1,0.0625,28.0,28.0,0.5,0
450,18,0,1,0.04,16.0,16.0,0.25,0
451,43,1,0,0.1075,43.0,43.0,1.0,1
452,45,0,0,0.11,44.0,44.0,0.75,0
453,4,0,1,0.005,2.0,2.0,0.0,0
454,35,0,1,0.0675,33.0,33.0,0.25,0
455,12,0,1,0.025,10.0,10.0,0.25,0
456,50,0,0,0.1225,49.0,49.0,0.75,0
457,51,0,0,0.125,50.0,50.0,0.75,0
458,40,0,1,0.095,38.0,38.0,0.5,0
459,52,0,0,0.1275,51.0,51.0,0.75,0
460,9,0,1,0.0175,7.0,7.0,0.0,0
461,56,0,0,0.125,55.0,55.0,0.75,0
462,28,0,1,0.065,26.0,26.0,0.25,0
463,31,0,0,0.075,30.0,30.0,0.75,0
464,12,0,1,0.025,10.0,10.0,0.0,0
465,21,0,1,0.0475,19.0,19.0,0.0,0
466,50,0,0,0.12,49.0,49.0,0.75,0
467,39,0,0,0.095,38.0,38.0,0.75,0
468,12,0,1,0.025,10.0,10.0,0.25,0
469,37,1,0,0.0925,37.0,37.0,1.0,1
470,47,0,1,0.1125,45.0,45.0,0.25,0
471,48,0,1,0.11,46.0,46.0,0.5,0
472,28,1,0,0.07,28.0,28.0,1.0,1
473,37,0,1,0.0875,35.0,35.0,0.5,0
474,11,0,1,0.0225,9.0,9.0,0.0,0
