traverse_p_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
398,25,1,0,0.1275,15.0,75.0,1.0,1
399,61,1,1,0.24,36.4,182.0,1.0,1
400,36,0,3,0.16,14.0,70.0,0.6666666666666666,0
401,15,0,3,0.0325,7.8,39.0,0.0,0
402,34,0,3,0.09,13.8,69.0,0.6666666666666666,0
403,73,0,3,0.1425,25.0,125.0,0.6666666666666666,0
404,63,1,1,0.1725,31.2,156.0,1.0,1
405,38,1,2,0.1475,19.0,95.0,1.0,1
406,41,0,3,0.1325,18.2,91.0,0.6666666666666666,0
407,53,1,1,0.1675,27.4,137.0,1.0,1
408,76,1,2,0.17,32.4,162.0,1.0,1
409,32,0,3,0.1125,15.8,79.0,0.6666666666666666,0
410,45,0,3,0.11,22.2,111.0,0.6666666666666666,0
411,23,0,3,0.0525,10.0,50.0,0.0,0
412,39,1,1,0.1675,21.2,106.0,1.0,1
413,35,0,3,0.1225,14.6,73.0,0.3333333333333333,0
414,19,0,3,0.0425,10.2,51.0,0.0,0
415,39,0,3,0.0925,21.8,109.0,0.3333333333333333,0
416,48,1,2,0.1425,21.0,105.0,1.0,1
417,68,1,2,0.1525,14.6,73.0,1.0,1
418,76,0,3,0.21,27.6,138.0,0.6666666666666666,0
419,44,0,3,0.12,15.4,77.0,0.3333333333333333,0
420,20,0,3,0.05,5.6,28.0,0.0,0
421,63,0,3,0.175,25.8,129.0,0.6666666666666666,0
422,75,1,1,0.2575,40.8,204.0,1.0,1
423,57,1,1,0.16,26.0,130.0,1.0,1
424,39,0,3,0.0725,10.2,51.0,0.6666666666666666,0
425,48,0,3,0.2,25.4,127.0,0.6666666666666666,0
426,21,0,3,0.0475,9.0,45.0,0.3333333333333333,0
427,15,0,3,0.0325,7.8,39.0,0.0,0
428,64,1,2,0.235,28.0,140.0,1.0,1
429,52,1,0,0.205,31.2,156.0,1.0,1
430,38,0,3,0.125,16.0,80.0,0.0,0
431,30,0,3,0.095,12.8,64.0,0.6666666666666666,0
432,18,0,3,0.04,9.6,48.0,0.0,0
433,71,1,2,0.2625,32.6,163.0,1.0,1
434,41,0,3,0.0975,19.4,97.0,0.6666666666666666,0
435,48,1,0,0.17,28.8,144.0,1.0,1
436,31,0,3,0.1,14.0,70.0,0.0,0
437,15,0,3,0.0325,3.8,19.0,0.3333333333333333,0
438,53,0,3,0.1175,21.4,107.0,0.3333333333333333,0
439,60,0,3,0.1425,20.0,100.0,0.6666666666666666,0
440,71,1,2,0.175,26.2,131.0,1.0,1
441,40,0,3,0.115,16.0,80.0,0.0,0
442,27,1,0,0.0875,16.2,81.0,1.0,1
443,20,0,3,0.045,10.8,54.0,0.0,0
444,90,1,2,0.255,29.2,146.0,1.0,1
445,74,1,2,0.22,28.6,143.0,1.0,1
446,36,0,3,0.0925,17.2,86.0,0.3333333333333333,0
447,55,1,2,0.185,27.6,138.0,1.0,1
