lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
86,35,0,1,0.0825,33.0,33.0,0.2,0
87,10,0,1,0.02,8.0,8.0,0.0,0
88,49,1,0,0.1125,49.0,49.0,1.0,1
89,54,0,1,0.13,52.0,52.0,0.6,0
90,50,0,1,0.12,48.0,48.0,0.2,0
91,50,0,1,0.12,48.0,48.0,0.4,0
92,64,1,0,0.1525,64.0,64.0,1.0,1
93,18,0,1,0.04,16.0,16.0,0.2,0
94,70,1,0,0.1725,70.0,70.0,1.0,1
95,83,1,0,0.2025,83.0,83.0,1.0,1
96,15,0,1,0.0325,13.0,13.0,0.0,0
97,32,0,1,0.075,30.0,30.0,0.2,0
98,51,0,1,0.1225,49.0,49.0,0.2,0
99,60,1,0,0.15,60.0,60.0,1.0,1
100,41,0,1,0.0975,39.0,39.0,0.2,0
101,89,1,0,0.2225,89.0,89.0,1.0,1
102,4,0,1,0.005,2.0,2.0,0.0,0
103,14,0,1,0.03,12.0,12.0,0.0,0
104,56,0,1,0.1325,54.0,54.0,0.4,0
105,82,1,0,0.195,82.0,82.0,1.0,1
106,74,0,1,0.1775,72.0,72.0,0.8,0
107,15,0,1,0.0325,13.0,13.0,0.0,0
108,31,0,1,0.0725,29.0,29.0,0.2,0
109,33,0,1,0.0775,31.0,31.0,0.4,0
110,28,0,1,0.065,26.0,26.0,0.0,0
111,8,0,1,0.0125,6.0,6.0,0.2,0
112,73,0,1,0.175,71.0,71.0,0.8,0
113,21,0,1,0.0475,19.0,19.0,0.0,0
114,30,0,1,0.07,28.0,28.0,0.2,0
115,50,0,1,0.1175,48.0,48.0,0.6,0
116,23,0,1,0.0525,21.0,21.0,0.0,0
117,35,0,1,0.0825,33.0,33.0,0.0,0
118,47,0,1,0.1125,45.0,45.0,0.4,0
119,79,1,0,0.1925,79.0,79.0,1.0,1
120,5,0,1,0.0075,3.0,3.0,0.0,0
121,43,0,1,0.1,41.0,41.0,0.4,0
122,31,0,1,0.0725,29.0,29.0,0.0,0
123,79,1,0,0.1875,79.0,79.0,1.0,1
124,25,0,1,0.0575,23.0,23.0,0.0,0
125,56,0,1,0.1325,54.0,54.0,0.6,0
126,57,0,1,0.1375,55.0,55.0,0.4,0
127,31,0,1,0.0725,29.0,29.0,0.2,0
128,9,0,1,0.0175,7.0,7.0,0.0,0
129,70,1,0,0.1725,70.0,70.0,1.0,1
130,9,0,1,0.0175,7.0,7.0,0.2,0
131,32,0,1,0.075,30.0,30.0,0.2,0
132,40,0,1,0.0925,38.0,38.0,0.4,0
133,51,1,0,0.125,51.0,51.0,1.0,1
134,31,0,1,0.0725,29.0,29.0,0.6,0
135,20,0,1,0.045,18.0,18.0,0.0,0
136,26,0,1,0.06,24.0,24.0,0.2,0
137,15,0,1,0.0325,13.0,13.0,0.2,0
138,23,0,1,0.0525,21.0,21.0,0.2,0
139,15,0,1,0.0325,13.0,13.0,0.0,0
140,75,1,0,0.1875,75.0,75.0,1.0,1
141,51,1,0,0.125,51.0,51.0,1.0,1
