lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
302,44,1,6,0.11,28.2,282.0,1.0,1
303,29,0,10,0.0675,23.0,230.0,0.5,0
304,85,1,6,0.175,65.2,652.0,1.0,1
305,68,1,8,0.1675,48.2,482.0,1.0,1
306,93,1,9,0.23,38.8,388.0,1.0,1
307,63,1,5,0.1575,44.5,445.0,1.0,1
308,37,1,9,0.0925,20.9,209.0,1.0,1
309,4,1,7,0.01,1.2,12.0,1.0,1
310,46,1,7,0.115,36.1,361.0,1.0,1
311,30,1,2,0.075,26.0,260.0,1.0,1
312,68,0,10,0.16,20.9,209.0,0.5,0
313,50,0,10,0.12,21.5,215.0,0.5,0
314,36,1,6,0.0875,31.6,316.0,1.0,1
315,30,1,8,0.075,22.2,222.0,1.0,1
316,45,1,9,0.11,11.7,117.0,1.0,1
317,52,1,9,0.13,26.5,265.0,1.0,1
318,33,1,3,0.0825,31.8,318.0,1.0,1
319,69,1,9,0.15,27.0,270.0,1.0,1
320,80,1,9,0.1975,33.6,336.0,1.0,1
321,79,1,8,0.1775,44.8,448.0,1.0,1
322,34,1,2,0.085,33.8,338.0,1.0,1
323,50,1,8,0.125,32.4,324.0,1.0,1
324,48,0,10,0.115,40.9,409.0,0.5,0
325,100,1,5,0.2075,69.4,694.0,1.0,1
326,34,1,7,0.085,16.1,161.0,1.0,1
327,47,1,8,0.115,29.8,298.0,1.0,1
328,47,0,10,0.1125,23.4,234.0,0.0,0
329,35,1,4,0.0875,28.1,281.0,1.0,1
330,35,0,10,0.0825,31.5,315.0,0.5,0
331,56,1,7,0.14,34.6,346.0,1.0,1
332,80,1,9,0.1975,22.3,223.0,1.0,1
333,30,1,2,0.075,29.8,298.0,1.0,1
334,57,1,9,0.135,38.6,386.0,1.0,1
335,51,1,8,0.1275,24.6,246.0,1.0,1
336,23,1,9,0.0575,15.7,157.0,1.0,1
337,47,0,10,0.1125,39.5,395.0,0.0,0
338,36,1,6,0.09,28.0,280.0,1.0,1
339,86,1,6,0.21,41.6,416.0,1.0,1
340,84,1,9,0.2025,39.2,392.0,1.0,1
341,112,1,5,0.2675,96.5,965.0,1.0,1
342,32,1,8,0.08,22.7,227.0,1.0,1
343,58,1,9,0.1425,33.5,335.0,1.0,1
344,16,1,3,0.04,13.3,133.0,1.0,1
345,82,1,9,0.2,65.2,652.0,1.0,1
346,24,1,4,0.06,20.0,200.0,1.0,1
347,66,1,4,0.165,53.8,538.0,1.0,1
348,41,1,7,0.1025,31.4,314.0,1.0,1
349,35,1,8,0.0875,27.8,278.0,1.0,1
350,92,1,9,0.2275,51.3,513.0,1.0,1
351,43,0,10,0.1025,18.8,188.0,0.5,0
352,51,1,7,0.125,40.5,405.0,1.0,1
353,64,1,7,0.1575,36.2,362.0,1.0,1
354,37,1,1,0.0925,34.7,347.0,1.0,1
355,43,1,5,0.1075,24.5,245.0,1.0,1
356,64,1,8,0.16,40.0,400.0,1.0,1
357,31,1,7,0.0775,24.1,241.0,1.0,1
358,66,1,8,0.155,26.0,260.0,1.0,1
359,44,0,10,0.105,14.3,143.0,0.5,0
360,54,1,6,0.1075,29.5,295.0,1.0,1
361,71,1,8,0.175,22.3,223.0,1.0,1
362,41,1,9,0.1025,23.2,232.0,1.0,1
363,62,0,10,0.15,43.3,433.0,0.5,0
364,14,1,0,0.035,14.0,140.0,1.0,1
365,29,1,8,0.0725,13.4,134.0,1.0,1
366,83,1,6,0.18,55.1,551.0,1.0,1
367,85,1,7,0.21,52.8,528.0,1.0,1
368,33,1,4,0.0825,27.3,273.0,1.0,1
369,79,1,9,0.15,26.8,268.0,1.0,1
370,91,1,8,0.1925,54.5,545.0,1.0,1
371,85,1,8,0.205,42.8,428.0,1.0,1
372,68,1,9,0.1625,32.8,328.0,1.0,1
373,38,1,2,0.095,36.7,367.0,1.0,1
374,24,1,2,0.06,23.2,232.0,1.0,1
375,74,1,9,0.185,26.7,267.0,1.0,1
376,69,1,9,0.17,21.0,210.0,1.0,1
377,30,1,3,0.075,29.7,297.0,1.0,1
378,31,1,9,0.0775,4.9,49.0,1.0,1
379,25,1,9,0.0625,16.6,166.0,1.0,1
380,40,1,8,0.09,12.8,128.0,1.0,1
381,32,1,7,0.08,21.8,218.0,1.0,1
382,27,0,10,0.0625,25.0,250.0,0.0,0
383,55,1,7,0.1375,35.4,354.0,1.0,1
384,83,1,9,0.1775,52.6,526.0,1.0,1
385,46,0,10,0.11,27.2,272.0,0.0,0
386,62,1,8,0.1525,28.8,288.0,1.0,1
387,28,1,5,0.07,24.5,245.0,1.0,1
388,50,1,4,0.125,44.4,444.0,1.0,1
389,66,1,8,0.1475,42.0,420.0,1.0,1
390,49,1,9,0.1225,25.0,250.0,1.0,1
391,55,1,8,0.135,37.4,374.0,1.0,1
392,49,1,3,0.1225,43.1,431.0,1.0,1
393,63,0,10,0.145,23.4,234.0,0.5,0
394,73,1,7,0.1675,52.6,526.0,1.0,1
395,76,1,7,0.185,44.2,442.0,1.0,1
396,27,1,5,0.0675,22.9,229.0,1.0,1
397,57,0,10,0.1375,41.0,410.0,0.5,0
398,29,1,7,0.0725,15.7,157.0,1.0,1
399,35,1,8,0.0875,34.2,342.0,1.0,1
400,41,1,8,0.1,22.1,221.0,1.0,1
401,66,1,9,0.165,41.2,412.0,1.0,1
