556. Steps: 30, Found: True, Taken down:3 
557. Steps: 20, Found: True, Taken down:1 
558. Steps: 27, Found: True, Taken down:4 
559. Steps: 29, Found: False, Taken down:5 
560. Steps: 43, Found: True, Taken down:4 
561. Steps: 14, Found: True, Taken down:3 
562. Steps: 52, Found: True, Taken down:3 
563. Steps: 55, Found: True, Taken down:4 
564. Steps: 13, Found: True, Taken down:2 
565. Steps: 11, Found: True, Taken down:1 
566. Steps: 5, Found: True, Taken down:3 
567. Steps: 3, Found: True, Taken down:2 
568. Steps: 27, Found: True, Taken down:1 
569. Steps: 4, Found: True, Taken down:2 
570. Steps: 22, Found: False, Taken down:5 
571. Steps: 22, Found: True, Taken down:3 
572. Steps: 7, Found: True, Taken down:1 
573. Steps: 29, Found: False, Taken down:5 
574. Steps: 36, Found: True, Taken down:4 
575. Steps: 16, Found: True, Taken down:3 
576. Steps: 30, Found: False, Taken down:5 
577. Steps: 34, Found: False, Taken down:5 
578. Steps: 12, Found: True, Taken down:3 
579. Steps: 13, Found: True, Taken down:2 
580. Steps: 23, Found: True, Taken down:2 
581. Steps: 20, Found: False, Taken down:5 
582. Steps: 24, Found: True, Taken down:3 
583. Steps: 22, Found: True, Taken down:4 
584. Steps: 27, Found: False, Taken down:5 
585. Steps: 26, Found: True, Taken down:2 
586. Steps: 33, Found: True, Taken down:2 
587. Steps: 28, Found: True, Taken down:3 
588. Steps: 14, Found: True, Taken down:1 
589. Steps: 19, Found: True, Taken down:3 
590. Steps: 35, Found: True, Taken down:3 
591. Steps: 22, Found: True, Taken down:3 
592. Steps: 50, Found: True, Taken down:4 
593. Steps: 40, Found: True, Taken down:4 
594. Steps: 28, Found: True, Taken down:3 
595. Steps: 31, Found: True, Taken down:2 
596. Steps: 34, Found: False, Taken down:5 
597. Steps: 20, Found: True, Taken down:3 
598. Steps: 22, Found: True, Taken down:4 
599. Steps: 42, Found: False, Taken down:5 
600. Steps: 24, Found: True, Taken down:2 
